Tailnumber,AircraftType,BEW,Arm,Moment
N602FT,Warrior2,1489,89.28,132932.7
N609FT,Warrior2,1535.4,87.6,134506.4
N613FT,Warrior2,1513.4,85.73,129743.6
N617FT,Warrior2,1564.4,85.6,133917.4
N621FT,Warrior2,1498.4,85.01,127383.1
N623FT,Warrior2,1532.4,87.08,133434
N624FT,Warrior2,1535.4,87.56,134445.2
N625FT,Warrior2,1576,86.28,135977.3
N53260,Warrior3,1592,86.51,137723.9
N627FT,Warrior3,1600,86.66,138655.9
N629FT,Warrior3,1610.5,85.41,137556.6
N631FT,Warrior3,1541.6,87.72,135234
N635FT,Warrior3,1589,86.67,137716.5
N636FT,Warrior3,1614,85.56,138099.3
N637FT,Warrior3,1598,86.19,137734.2
N638FT,Warrior3,1592.7,86.46,137699
N639FT,Warrior3,1587,85.65,135924.4
N640FT,Warrior3,1606,85.89,137947.3
N641FT,Warrior3,1603,86.5,138660.3
N642FT,Warrior3,1560,86.51,134952.8
N643FT,Archer,1712.7,88.47,151527.9
N644FT,Archer,1709.9,88.66,151602.3
N645FT,Archer,1708.2,88.77,151641.4
N646FT,Archer,1708.2,88.82,151720.1
N647FT,Archer,1711.9,88.73,151899.3
N648FT,Archer,1713,88.79,152089.5
N649FT,Archer,1710.2,88.95,152126.1
N650FT,Archer,1715.2,88.54,151858.4
N880FT,Seminole,2680,86.67,232275.6
N881FT,Seminole,2702,75.81,234858.6
N882FT,Seminole,2623.2,86.12,226655.3
N884FT,Seminole,2677.1,85.96,230130.7
N885FT,Seminole,2656.9,85.71,227720.8
N131RA,Citabria,1192.3,12.43,14819.3